type,sector_id,start_lat,start_long,end_lat,end_long,tag,title,description,metric,threshold,optimal_value
Ideal,1,38.1608385,-122.4539478,38.161278,-122.4546495,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,148.27203695836874,158.04
Ideal,1,38.1608385,-122.4539478,38.161278,-122.4546495,Acceleration,"Reduce coasting time","You are spending too much time transitioning from brake to throttle. Try to blend the pedals smoother and faster.",coasting_time,0.3,0.07
Ideal,2,38.1612863,-122.4546631,38.161721299999996,-122.4553535,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,159.8888334749363,168.9
Ideal,3,38.161733,-122.45537259999999,38.162004700000004,-122.4561844,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,164.68411427357688,177.29
Ideal,3,38.161733,-122.45537259999999,38.162004700000004,-122.4561844,Acceleration,"Get back on the throttle earlier","Optimal laps show earlier acceleration out of this corner.",throttle_start_percent,0.08835893816585576,0
Ideal,4,38.1620074,-122.4562122,38.1620432,-122.4570743,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,157.64296516567543,170.05
Ideal,5,38.1620434,-122.45709830000001,38.1618338,-122.4579235,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,138.27789422259983,149.85
Ideal,6,38.161820899999995,-122.4579414,38.1612576,-122.4584711,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,103.35587000849618,110.31
Ideal,7,38.1612435,-122.45848930000001,38.1611055,-122.4593083,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,86.52810152931181,90.03
Ideal,8,38.161112200000005,-122.4593339,38.1615474,-122.4600042,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,92.03784197111298,94.61
Ideal,9,38.1615624,-122.4600171,38.1620805,-122.4605594,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,115.74484621920136,118.44
Ideal,10,38.162098,-122.46057019999999,38.1625977,-122.4611692,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,115.68783984706883,120.32
Ideal,10,38.162098,-122.46057019999999,38.1625977,-122.4611692,Acceleration,"Get back on the throttle earlier","Optimal laps show earlier acceleration out of this corner.",throttle_start_percent,0.4041239073164345,0
Ideal,11,38.162602799999995,-122.4611923,38.1626466,-122.46207729999999,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,105.9048844519966,111.08
Ideal,12,38.1626556,-122.46210509999999,38.1631189,-122.46272789999999,Speed,"Carry more speed into the apex","Fastest drivers maintain a higher minimum speed in this sector.",min_speed,106.1257370433305,110.82
Ideal,12,38.1626556,-122.46210509999999,38.1631189,-122.46272789999999,Acceleration,"Reduce coasting time","You are spending too much time transitioning from brake to throttle. Try to blend the pedals smoother and faster.",coasting_time,0.3,0
